price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,AgeOfHouse,,,
221900,3,1,5650,1,0,0,3,1180,0,68,,,
538000,3,2.25,7242,2,0,0,3,2170,400,72,,,
180000,2,1,10000,1,0,0,3,770,0,90,,,
604000,4,3,5000,1,0,0,5,1050,910,58,,,
510000,3,2,8080,1,0,0,3,1680,0,36,,,
1.23E+06,4,4.5,101930,1,0,0,3,3890,1530,22,,,
257500,3,2.25,6819,2,0,0,3,1715,0,28,,,
291850,3,1.5,9711,1,0,0,3,1060,0,60,,,
229500,3,1,7470,1,0,0,3,1050,730,63,,,
323000,3,2.5,6560,2,0,0,3,1890,0,20,,,
662500,3,2.5,9796,1,0,0,3,1860,1700,58,,,
468000,2,1,6000,1,0,0,4,860,300,81,,,
310000,3,1,19901,1.5,0,0,4,1430,0,96,,,
400000,3,1.75,9680,1,0,0,4,1370,0,46,,,
530000,5,2,4850,1.5,0,0,3,1810,0,123,,,
650000,4,3,5000,2,0,3,3,1980,970,44,,,
395000,3,2,14040,2,0,0,3,1890,0,29,,,3025
485000,4,1,4300,1.5,0,0,4,1600,0,107,,,
189000,2,1,9850,1,0,0,4,1200,0,102,,,
230000,3,1,9774,1,0,0,4,1250,0,54,,,
385000,4,1.75,4980,1,0,0,4,860,760,76,,,
2.00E+06,3,2.75,44867,1,0,4,3,2330,720,55,,,
285000,5,2.5,6300,2,0,0,3,2270,0,28,,,
252700,2,1.5,9643,1,0,0,3,1070,0,38,,,
329000,3,2.25,6500,2,0,0,4,2450,0,38,,,
233000,3,2,4697,1.5,0,0,5,1710,0,82,,,
937000,3,1.75,2691,2,0,0,3,1750,700,108,,,
667000,3,1,1581,1.5,0,0,5,1400,0,114,,,
438000,3,1.75,6380,1,0,0,3,790,730,75,,,
719000,4,2.5,7173,2,0,0,3,2570,0,18,,,
580500,3,2.5,3980,2,0,0,3,2320,0,20,,,
280000,2,1.5,1265,3,0,0,3,1190,0,18,,,
687500,4,1.75,5000,1.5,0,0,4,1510,820,94,,,
535000,3,1,3000,1.5,0,0,4,1090,0,94,,,
322500,4,2.75,6659,1,0,0,3,1280,780,42,,,
696000,3,2.5,3060,1.5,0,0,3,1510,790,93,,,
550000,4,1,34848,1,0,0,1,930,730,90,,,
640000,4,2,6000,2,0,0,4,2360,0,119,,,
240000,4,1,8075,1,0,0,2,890,330,54,,,
605000,4,2.5,7553,2,0,0,3,2620,0,27,,,
625000,4,2.5,5520,2,0,0,3,2570,0,23,,,
775000,4,2.25,24186,1,0,0,3,2600,1620,39,,,
861990,5,2.75,5639,2,0,0,3,3595,0,9,,,
685000,3,1,2280,2,0,0,3,1570,0,101,,,
309000,3,1,9656,1,0,0,4,920,360,64,,,
488000,3,2.5,13603,2,0,0,3,3160,0,20,,,
210490,3,1,8528,1,0,0,3,990,0,57,,,
785000,4,2.5,13416,2,0,0,4,2290,0,42,,,
450000,3,1.75,5963,1,0,0,4,1250,0,70,,,
1.35E+06,3,2.5,65005,1,1,2,5,2165,588,70,,,
228000,3,1,9199,1,0,0,3,1190,0,68,,,
345000,5,2.5,9134,1,0,0,4,1640,1510,57,,,
600000,3,1.75,4080,1,0,0,4,1000,410,73,,,
585000,2,1.75,8550,1,0,0,3,990,990,42,,,
920000,5,2.25,6000,1.5,0,0,3,2130,600,96,,,
885000,4,2.5,5000,2,0,0,3,2830,0,28,,,
292500,4,2.5,4495,2,0,0,3,2250,0,15,,,
301000,3,2.5,4750,2,0,0,3,2420,0,20,,,
951000,5,3.25,14342,2,0,4,4,3250,0,55,,,
430000,4,3,9976,2,0,0,3,1850,0,32,,,
650000,3,2.25,21235,1,0,3,4,1590,560,64,,,
289000,3,1.75,8400,1,0,0,3,1260,0,69,,,
505000,3,1.75,8690,2,0,0,5,2519,0,50,,,
549000,3,1.75,1044,3,0,0,3,1540,0,9,,,
425000,3,2.25,6000,1,0,0,3,1110,550,44,,,
317625,3,2.75,3809,1.5,0,0,5,1770,1000,98,,,
975000,4,2.5,11049,2,0,0,3,2720,0,34,,,
287000,4,2.5,4648,2,0,0,3,2240,0,18,,,
204000,3,1,12070,1,0,0,4,1000,0,55,,,
1.33E+06,5,2.25,20158,1,0,0,3,1600,1600,58,,,
1.04E+06,5,3.25,50094,1,0,0,4,3070,1700,50,,,
325000,3,2,5612,1,0,0,4,1260,0,51,,,
571000,4,2,7807,1.5,0,0,5,2250,500,107,,,
360000,4,2.5,5000,2,0,0,3,2380,0,18,,,
349000,3,1.75,50529,1,0,0,5,1090,700,58,,,
832500,4,4,35102,2,0,0,4,2390,1040,37,,,
380000,4,1.75,7300,1,0,0,3,880,880,67,,,
480000,3,1,5060,1,0,0,3,1040,0,82,,,
410000,3,1,5060,1,0,0,4,910,500,67,,,
720000,4,2.5,39683,2,0,0,3,3450,0,21,,,
390000,3,2.5,5100,2,0,0,3,2350,0,20,,,
360000,4,2.5,5889,2,0,0,3,1900,0,31,,,
355000,2,1,6720,1,0,0,3,1010,1010,75,,,
356000,3,1.5,8712,1,0,0,3,1680,0,59,,,
315000,3,1,6634,1,0,0,3,960,0,71,,,
940000,3,1.5,3600,2,0,0,3,1900,240,98,,,
305000,5,2.25,8400,1.5,0,0,5,2660,0,62,,,
461000,3,3.25,6278,2,0,0,3,1980,790,17,,,
215000,2,2.25,2040,2,0,0,4,1610,0,44,,,
335000,2,1.75,1066,2,0,0,3,765,265,17,,,
243500,4,2.5,7403,2,0,0,3,1980,0,35,,,
1.10E+06,5,2.75,6353,2,0,0,4,3520,0,22,,,
153000,3,1,10500,1,0,0,3,1200,0,61,,,
430000,3,1.5,5000,1,0,0,3,1290,290,84,,,
700000,3,1.5,5000,1,0,0,3,1290,290,84,,,
905000,4,2.5,10250,1,0,0,3,2390,910,77,,,
247500,3,1.75,15681,1,0,0,3,1960,0,56,,,
199000,4,1.5,6400,1,0,0,4,1160,0,48,,,
314000,3,1.75,41800,1,0,0,5,1210,600,43,,,
437500,3,2.5,36847,2,0,2,3,2320,0,31,,,
850830,3,2.5,13241,1.5,0,0,5,1270,800,113,,,
555000,3,2,3478,1.5,0,0,4,1440,540,94,,,
699950,3,2.25,107593,2,0,0,4,2190,0,40,,,
1.09E+06,3,2.5,8113,2,0,0,3,2920,0,73,,,
290000,3,1,33919,1,0,0,3,1210,0,69,,,
375000,3,2.5,10005,1,0,0,4,1460,880,45,,,
460000,3,1,4005,1.5,0,0,4,1170,500,84,,,
188500,2,1.75,2493,1,0,0,4,1240,0,38,,,
680000,4,2.5,28037,2,0,0,4,3140,0,32,,,
470000,5,1.75,12342,2,0,0,4,2030,0,81,,,
597750,4,2.5,9624,2,0,0,3,2310,0,39,,,
570000,3,1.75,3328,1,0,0,5,700,560,118,,,
272500,3,1.75,12600,1,0,0,4,1160,380,43,,,
329950,3,1.75,5969,1,0,2,3,1080,1000,52,,,
480000,4,2.5,16171,2,0,3,3,2520,710,22,,,
740500,3,3.5,6350,2,0,0,3,2780,1600,123,,,
518500,3,3.5,1102,3,0,0,3,1590,0,13,,,
205425,2,1,6780,1,0,0,4,880,0,78,,,
171800,4,2,9600,1,0,0,3,1570,0,73,,,
535000,4,1,2982,1.5,0,0,4,1610,0,98,,,
660000,3,2.5,6474,1,0,2,3,1560,840,59,,,
391500,3,2,9132,1,0,0,3,1450,0,36,,,
395000,2,1,6000,1,0,0,3,770,0,70,,,
445000,4,1.75,4400,1.5,0,0,5,1720,380,99,,,
770000,3,2.25,10204,2,0,0,3,2910,0,33,,,
1.45E+06,4,2.75,17789,1.5,0,0,3,1980,770,109,,,
445000,3,2.25,8201,1,0,2,3,1620,480,56,,,
260000,4,2.25,8811,1,0,0,3,1360,800,45,,,
822500,5,3.5,4960,2,0,0,5,1720,600,97,,,
430000,4,2.5,4310,2,0,0,3,2070,0,19,,,
212000,3,1.75,7875,1,0,0,4,1060,0,37,,,
660500,4,2.25,9603,1,0,0,3,1440,570,37,,,
784000,3,3.5,111078,1.5,0,0,3,2460,1490,34,,,
453246,3,2.5,2287,2,0,0,3,1390,620,9,,,
675000,4,3.5,2278,3,0,0,3,2140,0,18,,,
199000,3,1.75,17390,1,0,0,4,1320,0,67,,,
220000,4,1.75,7840,1,0,0,3,1010,1010,55,,,
452000,4,2.25,10002,1,0,0,4,1340,1250,55,,,
382500,2,1,4440,1,0,0,3,1190,0,42,,,
519950,3,2.25,1249,3,0,0,3,1170,0,9,,,
665000,2,1,3200,1,0,0,3,1110,0,98,,,
527700,5,2.5,9375,1,0,0,4,1550,1270,55,,,
205000,3,1,8579,1,0,0,4,1010,600,61,,,
420000,3,1,8097,1,0,0,4,940,120,100,,,
500000,4,2.25,8517,1,0,0,4,1380,650,62,,,
921500,4,2.5,315374,2,0,0,4,3670,0,29,,,
890000,4,1,4000,2,0,0,3,2370,180,118,,,
430000,2,2.5,60984,2,0,0,3,2420,0,16,,,
258000,5,2,12500,1,0,0,4,1130,1130,63,,,
511000,3,1,3455,1,0,0,3,980,450,76,,,
532170,3,2,3090,2,0,0,3,1360,0,33,,,
560000,3,1,5000,1.5,0,0,3,1110,0,76,,,
282950,3,1,8200,1,0,0,4,1250,0,69,,,
2.25E+06,4,3.25,19850,2,0,3,3,3540,1640,17,,,
350000,1,1,5100,1,0,0,3,700,0,81,,,
