PassengerId,Survived,Pclass,Male,Age,SibSp,Parch,Fare
804,1,3,1,0.42,0,1,8.5167
756,1,2,1,0.67,1,1,14.5
470,1,3,0,0.75,2,1,19.2583
645,1,3,0,0.75,2,1,19.2583
79,1,2,1,0.83,0,2,29
832,1,2,1,0.83,1,1,18.75
306,1,1,1,0.92,1,2,151.55
165,0,3,1,1,4,1,39.6875
173,1,3,0,1,1,1,11.1333
184,1,2,1,1,2,1,39
382,1,3,0,1,0,2,15.7417
387,0,3,1,1,5,2,46.9
789,1,3,1,1,1,2,20.575
828,1,2,1,1,0,2,37.0042
8,0,3,1,2,3,1,21.075
17,0,3,1,2,4,1,29.125
120,0,3,0,2,4,2,31.275
206,0,3,0,2,0,1,10.4625
298,0,1,0,2,1,2,151.55
341,1,2,1,2,1,1,26
480,1,3,0,2,0,1,12.2875
531,1,2,0,2,1,1,26
643,0,3,0,2,3,2,27.9
825,0,3,1,2,4,1,39.6875
44,1,2,0,3,1,2,41.5792
194,1,2,1,3,1,1,26
262,1,3,1,3,4,2,31.3875
349,1,3,1,3,1,1,15.9
375,0,3,0,3,3,1,21.075
408,1,2,1,3,1,1,18.75
11,1,3,0,4,1,1,16.7
64,0,3,1,4,3,2,27.9
172,0,3,1,4,4,1,29.125
185,1,3,0,4,0,2,22.025
446,1,1,1,4,0,2,81.8583
619,1,2,0,4,2,1,39
692,1,3,0,4,0,1,13.4167
751,1,2,0,4,1,1,23
851,0,3,1,4,4,2,31.275
870,1,3,1,4,1,1,11.1333
59,1,2,0,5,1,2,27.75
234,1,3,0,5,4,2,31.3875
449,1,3,0,5,2,1,19.2583
778,1,3,0,5,0,0,12.475
721,1,2,0,6,0,1,33
752,1,3,1,6,0,1,12.475
814,0,3,0,6,4,2,31.275
51,0,3,1,7,4,1,39.6875
279,0,3,1,7,4,1,29.125
536,1,2,0,7,0,2,26.25
25,0,3,0,8,3,1,21.075
238,1,2,0,8,0,2,26.25
550,1,2,1,8,1,1,36.75
788,0,3,1,8,4,1,29.125
148,0,3,0,9,2,2,34.375
166,1,3,1,9,0,2,20.525
183,0,3,1,9,4,2,31.3875
481,0,3,1,9,5,2,46.9
490,1,3,1,9,1,1,15.9
542,0,3,0,9,4,2,31.275
635,0,3,0,9,3,2,27.9
853,0,3,0,9,1,1,15.2458
420,0,3,0,10,0,2,24.15
820,0,3,1,10,3,2,27.9
60,0,3,1,11,5,2,46.9
543,0,3,0,11,4,2,31.275
732,0,3,1,11,0,0,18.7875
803,1,1,1,11,1,2,120
126,1,3,1,12,1,0,11.2417
447,1,2,0,13,0,1,19.5
781,1,3,0,13,0,0,7.2292
10,1,2,0,14,1,0,30.0708
